Parole,parte del discorso,frasi
E,Verbo,
La,Pronome,
Un,Articulo,
A,Preposizione,
Sono,Verbo,
Il,Articulo,
Una,Articulo,
In,Preposizione,
Lo,Pronome,
Di,Preposizione,
Molto,Avverbio,
Sei,Verbo,
Sta,Verbo,
Mi,Pronome,
Per,Preposizione,
Cosi,Avverbio,
Posso,Verbo,
Siete,Verbo,
Ha,Verbo,
Le,Pronome,
Non,Avverbio,
Ho,Verbo,
Piace,Verbo,
Con,Preposizione,
Ti,Pronome,
Gia,Avverbio,
Sto,Verbo,
Da,Preposizione,
Sembra,Verbo,
Voglio,Verbo,
Cosa,Pronome,
Questa,Pronome,
Essere,Verbo,
Chi,,
L’Ha,,
Troppo,,
Davvero,,
Ancora,,
Vi,,
Che,,
Due,,
Si,,
Stai,,
Vuole,,
State,,
I,,
Abbastanza,,
Dove,,
Sempre,,
Gli,,
Alla,,
Questo,,
Come,,
Al,,
Quella,,
Era,,
Dei,,
Andare,,
Devo,,
O,,
Puo,,
Siento,,
Siamo,,
Hai,,
Dalla,,
Del,,
Chiamo,,
Ne,,
Hai,,
Qualche,,
Tre,,
Uno,,
Quando,,
L’Ambasciata,,
Quasi,,
Piacerebbe,,
Ci,,
Fatto,,
Quel,,
Nella,,
Molti,,
Dal,,
Cos’e,,
Voui,,
E,,
L’avette,,
Avete,,
Amo,,
Sara,,
Stato,,
Sa,,
Piu,,
Visto,,
Lavorare,,
Vorrei,,
Ero,,
Solo,,
Partire,,
Deve,,
Lasci,,
Faro,,
Dove,,
Parla,,
Stata,,
Mio,,
Sul,,
Alle,,
Puoi,,
Volete,,
Delle,,
Parlare,,
Se,,
Sembrava,,
Tutto,,
Abbiamo,,
Voleva,,
Tutti,,
Hanno,,
Fa,,
Suo,,
Possiamo,,
So,,
Libero,,
Stavo,,
Nel,,
Sia,,
Mia,,
Giornale,,
Unaltra,,
Ogni,,
Molte,,
Appena,,
Diventando,,
Della,,
Completamente,,
Ama,,
Tra,,
Aspettando,,
Stiamo,,
Semplicemente,,
Vedo,,
Ce,,
Cominciare,,
Potrei,,
Sai,,
Faccia,,
Tempo,,
Dev’essere,,
Vengo,,
Fate,,
Tuo,,
Manca,,
Qui,,
Venne,,
Siate,,
Fai,,
Fuori,,
Devi,,
Costa,,
Cos’ha,,
Vidi,,
Spesso,,
Quale,,
Quello,,
Libera,,
Fare,,
Potete,,
Vogliamo,,
Parlo,,
Pesso,,
Me,,
Guidare,,
Chiami,,
Dovrei,,
Mangiare,,
Dire,,
Studiando,,
Sapete,,
Tante,,
Qualcuno,,
Bene,,
Venire,,
Dobbiamo,,
Volevo,,
Lavora,,
Significa,,
Iniziare,,
Erano,,
Dovete,,
Va,,
Bere,,
Piacere,,
Dieci,,
Assolutamente,,
Domani,,
Cinque,,
Impegnato,,
Mangio,,
Vinto,,
Studiare,,
